t,T
0.00,9688.00
0.01,8983.26
0.02,8462.28
0.03,8052.04
0.04,7715.75
0.05,7432.22
0.06,7188.12
0.07,6974.54
0.08,6785.24
0.09,6615.67
0.10,6462.43
0.11,6322.89
0.12,6195.03
0.13,6077.20
0.14,5968.08
0.15,5866.59
0.16,5771.82
0.17,5683.04
0.18,5599.59
0.19,5520.94
0.20,5446.61
0.21,5376.21
0.22,5309.38
0.23,5245.80
0.24,5185.22
0.25,5127.39
0.26,5072.10
0.27,5019.15
0.28,4968.38
0.29,4919.63
0.30,4872.77
0.31,4827.67
0.32,4784.21
0.33,4742.30
0.34,4701.84
0.35,4662.74
0.36,4624.93
0.37,4588.33
0.38,4552.87
0.39,4518.49
0.40,4485.15
0.41,4452.77
0.42,4421.32
0.43,4390.75
0.44,4361.02
0.45,4332.08
0.46,4303.91
0.47,4276.46
0.48,4249.70
0.49,4223.61
0.50,4198.15
0.51,4173.30
0.52,4149.03
0.53,4125.33
0.54,4102.16
0.55,4079.50
0.56,4057.35
0.57,4035.67
0.58,4014.45
0.59,3993.67
0.60,3973.32
0.61,3953.38
0.62,3933.84
0.63,3914.68
0.64,3895.89
0.65,3877.46
0.66,3859.38
0.67,3841.63
0.68,3824.21
0.69,3807.09
0.70,3790.29
0.71,3773.78
0.72,3757.55
0.73,3741.60
0.74,3725.93
0.75,3710.51
0.76,3695.34
0.77,3680.42
0.78,3665.75
0.79,3651.30
0.80,3637.08
0.81,3623.08
0.82,3609.30
0.83,3595.72
0.84,3582.35
0.85,3569.17
0.86,3556.19
0.87,3543.40
0.88,3530.78
0.89,3518.35
0.90,3506.09
0.91,3494.00
0.92,3482.08
0.93,3470.32
0.94,3458.72
0.95,3447.27
0.96,3435.97
0.97,3424.82
0.98,3413.81
0.99,3402.95
1.00,3392.22
1.01,3381.63
1.02,3371.17
1.03,3360.83
1.04,3350.63
1.05,3340.54
1.06,3330.58
1.07,3320.74
1.08,3311.01
1.09,3301.39
1.10,3291.89
1.11,3282.50
1.12,3273.21
1.13,3264.03
1.14,3254.95
1.15,3245.97
1.16,3237.08
1.17,3228.30
1.18,3219.61
1.19,3211.01
1.20,3202.51
1.21,3194.10
1.22,3185.77
1.23,3177.53
1.24,3169.37
1.25,3161.30
1.26,3153.31
1.27,3145.40
1.28,3137.57
1.29,3129.82
1.30,3122.14
1.31,3114.54
1.32,3107.01
1.33,3099.56
1.34,3092.17
1.35,3084.86
1.36,3077.61
1.37,3070.44
1.38,3063.33
1.39,3056.28
1.40,3049.30
1.41,3042.38
1.42,3035.53
1.43,3028.74
1.44,3022.01
1.45,3015.33
1.46,3008.72
1.47,3002.16
1.48,2995.67
1.49,2989.22
1.50,2982.84
1.51,2976.50
1.52,2970.22
1.53,2964.00
1.54,2957.82
1.55,2951.70
1.56,2945.63
1.57,2939.60
1.58,2933.63
1.59,2927.71
1.60,2921.83
1.61,2916.00
1.62,2910.21
1.63,2904.47
1.64,2898.78
1.65,2893.13
1.66,2887.53
1.67,2881.97
1.68,2876.45
1.69,2870.97
1.70,2865.54
1.71,2860.14
1.72,2854.79
1.73,2849.47
1.74,2844.20
1.75,2838.97
1.76,2833.77
1.77,2828.61
1.78,2823.49
1.79,2818.40
1.80,2813.36
1.81,2808.34
1.82,2803.37
1.83,2798.43
1.84,2793.52
1.85,2788.65
