t,T
0.00,9688.00
0.10,2640.64
0.20,2601.74
0.30,2565.09
0.40,2530.45
0.50,2497.65
0.60,2466.52
0.70,2436.91
0.80,2408.70
0.90,2381.77
1.00,2356.02
1.10,2331.37
1.20,2307.74
1.30,2285.05
1.40,2263.24
1.50,2242.25
1.60,2222.03
1.70,2202.52
1.80,2183.70
1.90,2165.51
2.00,2147.91
2.10,2130.89
2.20,2114.39
2.30,2098.40
2.40,2082.89
2.50,2067.83
2.60,2053.21
2.70,2038.99
2.80,2025.16
2.90,2011.71
3.00,1998.60
3.10,1985.84
3.20,1973.40
3.30,1961.26
3.40,1949.43
3.50,1937.87
3.60,1926.59
3.70,1915.57
3.80,1904.80
3.90,1894.27
4.00,1883.97
4.10,1873.89
4.20,1864.02
4.30,1854.37
4.40,1844.91
4.50,1835.64
4.60,1826.56
4.70,1817.65
4.80,1808.92
4.90,1800.35
5.00,1791.95
5.10,1783.70
5.20,1775.60
5.30,1767.65
5.40,1759.84
5.50,1752.17
5.60,1744.63
5.70,1737.21
5.80,1729.93
5.90,1722.76
6.00,1715.72
6.10,1708.78
6.20,1701.96
6.30,1695.25
6.40,1688.64
6.50,1682.14
6.60,1675.73
6.70,1669.42
6.80,1663.21
6.90,1657.09
7.00,1651.06
7.10,1645.11
7.20,1639.25
7.30,1633.48
7.40,1627.78
7.50,1622.16
7.60,1616.62
7.70,1611.16
7.80,1605.77
7.90,1600.45
8.00,1595.20
8.10,1590.02
8.20,1584.91
8.30,1579.86
8.40,1574.88
8.50,1569.96
8.60,1565.09
8.70,1560.29
8.80,1555.55
8.90,1550.87
9.00,1546.24
9.10,1541.67
9.20,1537.15
9.30,1532.68
9.40,1528.27
9.50,1523.90
9.60,1519.59
9.70,1515.32
9.80,1511.11
9.90,1506.93
10.00,1502.81
10.10,1498.73
10.20,1494.69
10.30,1490.70
10.40,1486.75
10.50,1482.84
10.60,1478.97
10.70,1475.14
10.80,1471.36
10.90,1467.61
11.00,1463.90
11.10,1460.22
11.20,1456.58
11.30,1452.98
11.40,1449.42
11.50,1445.89
11.60,1442.39
11.70,1438.93
11.80,1435.50
11.90,1432.10
12.00,1428.74
12.10,1425.40
12.20,1422.10
12.30,1418.83
12.40,1415.59
12.50,1412.37
12.60,1409.19
12.70,1406.04
12.80,1402.91
12.90,1399.81
13.00,1396.74
13.10,1393.69
13.20,1390.68
13.30,1387.68
13.40,1384.72
13.50,1381.78
13.60,1378.86
13.70,1375.97
13.80,1373.10
13.90,1370.26
14.00,1367.44
14.10,1364.64
14.20,1361.86
14.30,1359.11
14.40,1356.38
14.50,1353.67
14.60,1350.99
14.70,1348.32
14.80,1345.68
14.90,1343.06
15.00,1340.45
15.10,1337.87
15.20,1335.31
15.30,1332.76
15.40,1330.24
15.50,1327.74
15.60,1325.25
15.70,1322.78
15.80,1320.33
15.90,1317.90
16.00,1315.49
16.10,1313.09
16.20,1310.71
16.30,1308.35
16.40,1306.01
16.50,1303.68
16.60,1301.37
16.70,1299.08
16.80,1296.80
16.90,1294.53
17.00,1292.29
17.10,1290.06
17.20,1287.84
17.30,1285.64
17.40,1283.45
17.50,1281.28
17.60,1279.13
17.70,1276.99
17.80,1274.86
17.90,1272.75
18.00,1270.65
18.10,1268.56
18.20,1266.49
18.30,1264.43
18.40,1262.39
18.50,1260.35
18.60,1258.34
18.70,1256.33
18.80,1254.34
18.90,1252.36
19.00,1250.39
19.10,1248.43
19.20,1246.49
19.30,1244.56
19.40,1242.64
19.50,1240.73
