t,T
0.00,9688.00
0.10,6144.87
0.20,5323.71
0.30,4810.34
0.40,4448.68
0.50,4175.03
0.60,3957.89
0.70,3779.65
0.80,3629.60
0.90,3500.79
1.00,3388.46
1.10,3289.26
1.20,3200.73
1.30,3121.00
1.40,3048.66
1.50,2982.58
1.60,2921.87
1.70,2865.82
1.80,2813.83
1.90,2765.42
2.00,2720.18
2.10,2677.76
2.20,2637.86
2.30,2600.24
2.40,2564.67
2.50,2530.98
2.60,2498.98
2.70,2468.55
2.80,2439.54
2.90,2411.86
3.00,2385.38
3.10,2360.04
3.20,2335.73
3.30,2312.40
3.40,2289.97
3.50,2268.39
3.60,2247.60
3.70,2227.55
3.80,2208.19
3.90,2189.50
4.00,2171.42
4.10,2153.92
4.20,2136.97
4.30,2120.54
4.40,2104.61
4.50,2089.15
4.60,2074.13
4.70,2059.53
4.80,2045.34
4.90,2031.53
5.00,2018.08
5.10,2004.99
5.20,1992.22
5.30,1979.78
5.40,1967.64
5.50,1955.79
5.60,1944.23
5.70,1932.93
5.80,1921.89
5.90,1911.10
6.00,1900.54
6.10,1890.22
6.20,1880.12
6.30,1870.23
6.40,1860.54
6.50,1851.05
6.60,1841.75
6.70,1832.64
6.80,1823.71
6.90,1814.94
7.00,1806.34
7.10,1797.91
7.20,1789.62
7.30,1781.49
7.40,1773.51
7.50,1765.66
7.60,1757.96
7.70,1750.38
7.80,1742.94
7.90,1735.62
8.00,1728.42
8.10,1721.33
8.20,1714.37
8.30,1707.51
8.40,1700.77
8.50,1694.13
8.60,1687.59
8.70,1681.15
8.80,1674.81
8.90,1668.56
9.00,1662.40
9.10,1656.34
9.20,1650.36
9.30,1644.47
9.40,1638.66
9.50,1632.93
9.60,1627.28
9.70,1621.71
9.80,1616.22
9.90,1610.79
10.00,1605.44
10.10,1600.16
10.20,1594.95
10.30,1589.81
10.40,1584.73
10.50,1579.72
10.60,1574.77
10.70,1569.88
10.80,1565.05
10.90,1560.28
11.00,1555.57
11.10,1550.91
11.20,1546.31
11.30,1541.76
11.40,1537.27
