t,T
0.00,9688.00
0.05,8109.26
0.10,7007.55
0.15,6282.36
0.20,5773.97
0.25,5393.99
0.30,5095.94
0.35,4853.63
0.40,4651.27
0.45,4478.67
0.50,4328.99
0.55,4197.41
0.60,4080.43
0.65,3975.45
0.70,3880.47
0.75,3793.94
0.80,3714.63
0.85,3641.54
0.90,3573.88
0.95,3510.98
1.00,3452.27
1.05,3397.30
1.10,3345.67
1.15,3297.04
1.20,3251.11
1.25,3207.64
1.30,3166.40
1.35,3127.20
1.40,3089.88
1.45,3054.27
1.50,3020.25
1.55,2987.69
1.60,2956.49
1.65,2926.56
1.70,2897.80
1.75,2870.14
1.80,2843.51
1.85,2817.83
1.90,2793.06
1.95,2769.14
2.00,2746.02
2.05,2723.65
2.10,2701.99
2.15,2681.00
2.20,2660.65
2.25,2640.91
2.30,2621.74
2.35,2603.11
2.40,2585.00
2.45,2567.39
2.50,2550.24
2.55,2533.55
2.60,2517.28
2.65,2501.42
2.70,2485.96
2.75,2470.87
2.80,2456.14
2.85,2441.75
2.90,2427.70
2.95,2413.96
3.00,2400.53
3.05,2387.39
3.10,2374.54
3.15,2361.96
3.20,2349.64
3.25,2337.57
3.30,2325.75
3.35,2314.17
3.40,2302.81
3.45,2291.67
3.50,2280.74
3.55,2270.02
3.60,2259.50
3.65,2249.17
3.70,2239.03
3.75,2229.06
3.80,2219.27
3.85,2209.66
3.90,2200.20
3.95,2190.91
4.00,2181.77
4.05,2172.78
4.10,2163.94
4.15,2155.24
4.20,2146.68
4.25,2138.25
4.30,2129.95
4.35,2121.78
4.40,2113.74
4.45,2105.81
4.50,2098.01
4.55,2090.31
4.60,2082.73
4.65,2075.26
4.70,2067.90
4.75,2060.63
4.80,2053.47
4.85,2046.41
4.90,2039.44
4.95,2032.57
5.00,2025.79
5.05,2019.09
5.10,2012.49
5.15,2005.97
5.20,1999.54
5.25,1993.18
5.30,1986.91
5.35,1980.71
5.40,1974.60
5.45,1968.55
5.50,1962.58
5.55,1956.68
5.60,1950.86
5.65,1945.10
5.70,1939.40
5.75,1933.78
5.80,1928.22
5.85,1922.72
5.90,1917.28
5.95,1911.91
6.00,1906.59
6.05,1901.34
6.10,1896.14
6.15,1891.00
6.20,1885.91
6.25,1880.88
6.30,1875.90
6.35,1870.97
6.40,1866.09
6.45,1861.27
6.50,1856.49
6.55,1851.76
6.60,1847.09
6.65,1842.45
6.70,1837.87
6.75,1833.33
6.80,1828.83
6.85,1824.38
6.90,1819.97
6.95,1815.60
7.00,1811.27
7.05,1806.99
7.10,1802.74
7.15,1798.54
7.20,1794.37
7.25,1790.25
7.30,1786.16
7.35,1782.10
7.40,1778.09
7.45,1774.11
7.50,1770.16
7.55,1766.25
7.60,1762.38
7.65,1758.53
7.70,1754.72
7.75,1750.95
7.80,1747.21
7.85,1743.49
7.90,1739.81
7.95,1736.16
8.00,1732.54
8.05,1728.96
8.10,1725.40
8.15,1721.87
8.20,1718.36
8.25,1714.89
8.30,1711.44
8.35,1708.03
8.40,1704.64
8.45,1701.27
8.50,1697.93
8.55,1694.62
8.60,1691.34
8.65,1688.08
8.70,1684.84
8.75,1681.63
8.80,1678.44
8.85,1675.28
8.90,1672.14
8.95,1669.03
9.00,1665.93
9.05,1662.86
9.10,1659.82
9.15,1656.79
9.20,1653.79
9.25,1650.81
9.30,1647.85
9.35,1644.91
