t,T
0.00,9688.00
0.01,9071.05
0.02,8586.24
0.03,8190.84
0.04,7859.49
0.05,7575.98
0.06,7329.41
0.07,7112.09
0.08,6918.45
0.09,6744.32
0.10,6586.49
0.11,6442.46
0.12,6310.27
0.13,6188.29
0.14,6075.23
0.15,5970.01
0.16,5871.71
0.17,5779.59
0.18,5692.98
0.19,5611.35
0.20,5534.20
0.21,5461.13
0.22,5391.78
0.23,5325.81
0.24,5262.96
0.25,5202.98
0.26,5145.64
0.27,5090.75
0.28,5038.12
0.29,4987.61
0.30,4939.07
0.31,4892.36
0.32,4847.37
0.33,4803.98
0.34,4762.12
0.35,4721.67
0.36,4682.57
0.37,4644.72
0.38,4608.08
0.39,4572.56
0.40,4538.11
0.41,4504.68
0.42,4472.21
0.43,4440.66
0.44,4409.98
0.45,4380.13
0.46,4351.08
0.47,4322.77
0.48,4295.20
0.49,4268.31
0.50,4242.08
0.51,4216.49
0.52,4191.50
0.53,4167.09
0.54,4143.25
0.55,4119.94
0.56,4097.14
0.57,4074.84
0.58,4053.02
0.59,4031.66
0.60,4010.74
0.61,3990.25
0.62,3970.18
0.63,3950.50
0.64,3931.20
0.65,3912.28
0.66,3893.72
0.67,3875.50
0.68,3857.62
0.69,3840.06
0.70,3822.82
0.71,3805.89
0.72,3789.25
0.73,3772.90
0.74,3756.83
0.75,3741.03
0.76,3725.49
0.77,3710.20
0.78,3695.17
0.79,3680.37
0.80,3665.81
0.81,3651.47
0.82,3637.36
0.83,3623.46
0.84,3609.78
0.85,3596.30
0.86,3583.01
0.87,3569.92
0.88,3557.02
0.89,3544.31
0.90,3531.77
0.91,3519.41
0.92,3507.23
0.93,3495.20
0.94,3483.35
0.95,3471.65
0.96,3460.10
0.97,3448.71
0.98,3437.47
0.99,3426.37
1.00,3415.41
1.01,3404.60
1.02,3393.92
1.03,3383.37
1.04,3372.95
1.05,3362.66
1.06,3352.49
1.07,3342.45
1.08,3332.52
1.09,3322.71
1.10,3313.02
1.11,3303.43
1.12,3293.96
1.13,3284.60
1.14,3275.34
1.15,3266.18
1.16,3257.13
1.17,3248.17
1.18,3239.32
1.19,3230.56
1.20,3221.89
1.21,3213.32
1.22,3204.83
1.23,3196.44
1.24,3188.13
1.25,3179.91
1.26,3171.77
1.27,3163.71
1.28,3155.74
1.29,3147.84
1.30,3140.03
1.31,3132.29
1.32,3124.63
1.33,3117.04
1.34,3109.52
1.35,3102.08
1.36,3094.71
1.37,3087.40
1.38,3080.17
1.39,3073.00
1.40,3065.90
1.41,3058.86
1.42,3051.89
1.43,3044.98
1.44,3038.14
1.45,3031.35
1.46,3024.63
1.47,3017.96
1.48,3011.35
1.49,3004.80
1.50,2998.31
1.51,2991.87
1.52,2985.49
1.53,2979.16
1.54,2972.88
1.55,2966.66
1.56,2960.49
1.57,2954.37
1.58,2948.30
1.59,2942.28
1.60,2936.31
1.61,2930.39
1.62,2924.51
1.63,2918.68
1.64,2912.90
1.65,2907.16
1.66,2901.47
1.67,2895.82
1.68,2890.22
1.69,2884.66
1.70,2879.14
1.71,2873.66
1.72,2868.23
1.73,2862.84
1.74,2857.48
1.75,2852.17
1.76,2846.89
1.77,2841.66
1.78,2836.46
1.79,2831.30
1.80,2826.18
1.81,2821.09
1.82,2816.04
1.83,2811.03
1.84,2806.05
1.85,2801.11
1.86,2796.20
1.87,2791.33
1.88,2786.49
1.89,2781.68
1.90,2776.91
1.91,2772.17
1.92,2767.46
1.93,2762.78
1.94,2758.14
1.95,2753.52
1.96,2748.94
1.97,2744.39
1.98,2739.86
1.99,2735.37
2.00,2730.91
2.01,2726.47
2.02,2722.07
2.03,2717.69
2.04,2713.34
2.05,2709.01
2.06,2704.72
2.07,2700.45
2.08,2696.21
2.09,2692.00
2.10,2687.81
2.11,2683.65
2.12,2679.51
2.13,2675.40
2.14,2671.31
2.15,2667.25
2.16,2663.21
2.17,2659.20
2.18,2655.21
2.19,2651.25
2.20,2647.31
2.21,2643.39
2.22,2639.50
2.23,2635.62
2.24,2631.77
2.25,2627.95
2.26,2624.14
2.27,2620.36
2.28,2616.60
2.29,2612.86
2.30,2609.14
2.31,2605.45
2.32,2601.77
2.33,2598.11
2.34,2594.48
2.35,2590.86
2.36,2587.27
2.37,2583.69
2.38,2580.14
2.39,2576.60
2.40,2573.09
2.41,2569.59
2.42,2566.11
2.43,2562.65
2.44,2559.21
2.45,2555.79
2.46,2552.38
2.47,2549.00
2.48,2545.63
2.49,2542.28
2.50,2538.95
2.51,2535.63
2.52,2532.33
2.53,2529.05
2.54,2525.79
2.55,2522.54
2.56,2519.31
2.57,2516.09
2.58,2512.90
2.59,2509.71
2.60,2506.55
2.61,2503.40
2.62,2500.26
2.63,2497.15
2.64,2494.04
2.65,2490.95
2.66,2487.88
2.67,2484.82
2.68,2481.78
2.69,2478.75
2.70,2475.74
2.71,2472.74
2.72,2469.76
2.73,2466.79
2.74,2463.84
2.75,2460.89
2.76,2457.97
2.77,2455.05
2.78,2452.15
2.79,2449.27
2.80,2446.40
2.81,2443.54
2.82,2440.69
2.83,2437.86
2.84,2435.04
2.85,2432.24
2.86,2429.44
2.87,2426.66
2.88,2423.89
2.89,2421.14
2.90,2418.40
2.91,2415.67
2.92,2412.95
2.93,2410.24
2.94,2407.55
2.95,2404.87
2.96,2402.20
2.97,2399.54
2.98,2396.89
2.99,2394.26
3.00,2391.63
3.01,2389.02
3.02,2386.42
3.03,2383.83
3.04,2381.25
3.05,2378.69
3.06,2376.13
3.07,2373.59
3.08,2371.05
3.09,2368.53
3.10,2366.02
3.11,2363.52
3.12,2361.03
3.13,2358.54
3.14,2356.07
3.15,2353.61
3.16,2351.16
3.17,2348.73
3.18,2346.30
3.19,2343.88
3.20,2341.47
3.21,2339.07
3.22,2336.68
3.23,2334.30
3.24,2331.93
3.25,2329.57
3.26,2327.21
3.27,2324.87
3.28,2322.54
3.29,2320.22
3.30,2317.90
3.31,2315.60
3.32,2313.30
3.33,2311.02
3.34,2308.74
3.35,2306.47
3.36,2304.21
3.37,2301.96
3.38,2299.72
3.39,2297.48
3.40,2295.26
3.41,2293.04
3.42,2290.84
3.43,2288.64
3.44,2286.45
3.45,2284.26
3.46,2282.09
3.47,2279.93
3.48,2277.77
3.49,2275.62
3.50,2273.48
3.51,2271.34
3.52,2269.22
3.53,2267.10
3.54,2264.99
3.55,2262.89
3.56,2260.80
3.57,2258.71
3.58,2256.63
3.59,2254.56
3.60,2252.50
3.61,2250.44
3.62,2248.39
3.63,2246.35
3.64,2244.32
3.65,2242.29
3.66,2240.28
3.67,2238.26
3.68,2236.26
3.69,2234.26
3.70,2232.27
3.71,2230.29
3.72,2228.31
3.73,2226.34
3.74,2224.38
3.75,2222.43
3.76,2220.48
3.77,2218.54
3.78,2216.60
3.79,2214.68
3.80,2212.75
3.81,2210.84
3.82,2208.93
3.83,2207.03
3.84,2205.14
3.85,2203.25
3.86,2201.36
3.87,2199.49
3.88,2197.62
3.89,2195.76
3.90,2193.90
3.91,2192.05
3.92,2190.21
3.93,2188.37
3.94,2186.54
3.95,2184.71
3.96,2182.89
3.97,2181.08
3.98,2179.27
3.99,2177.47
4.00,2175.67
4.01,2173.89
4.02,2172.10
4.03,2170.32
4.04,2168.55
4.05,2166.79
4.06,2165.02
4.07,2163.27
4.08,2161.52
4.09,2159.78
4.10,2158.04
4.11,2156.31
4.12,2154.58
4.13,2152.86
4.14,2151.14
4.15,2149.43
4.16,2147.73
4.17,2146.03
4.18,2144.33
4.19,2142.65
4.20,2140.96
4.21,2139.28
4.22,2137.61
4.23,2135.94
4.24,2134.28
4.25,2132.62
4.26,2130.97
4.27,2129.32
4.28,2127.68
4.29,2126.04
4.30,2124.41
4.31,2122.79
4.32,2121.16
4.33,2119.55
4.34,2117.93
4.35,2116.33
4.36,2114.72
4.37,2113.13
4.38,2111.53
4.39,2109.95
4.40,2108.36
4.41,2106.79
4.42,2105.21
4.43,2103.64
4.44,2102.08
4.45,2100.52
4.46,2098.96
4.47,2097.41
4.48,2095.87
4.49,2094.33
4.50,2092.79
4.51,2091.26
4.52,2089.73
4.53,2088.21
4.54,2086.69
4.55,2085.17
4.56,2083.66
4.57,2082.16
4.58,2080.65
4.59,2079.16
4.60,2077.66
4.61,2076.18
4.62,2074.69
4.63,2073.21
4.64,2071.74
4.65,2070.26
4.66,2068.80
4.67,2067.33
4.68,2065.87
4.69,2064.42
4.70,2062.97
4.71,2061.52
4.72,2060.08
4.73,2058.64
4.74,2057.20
4.75,2055.77
4.76,2054.35
4.77,2052.92
4.78,2051.50
4.79,2050.09
4.80,2048.68
4.81,2047.27
4.82,2045.87
4.83,2044.47
4.84,2043.07
4.85,2041.68
4.86,2040.29
4.87,2038.91
4.88,2037.53
4.89,2036.15
4.90,2034.78
4.91,2033.41
4.92,2032.04
4.93,2030.68
4.94,2029.32
4.95,2027.97
4.96,2026.61
4.97,2025.27
4.98,2023.92
4.99,2022.58
5.00,2021.24
5.01,2019.91
5.02,2018.58
5.03,2017.25
5.04,2015.93
5.05,2014.61
5.06,2013.30
5.07,2011.98
5.08,2010.67
5.09,2009.37
5.10,2008.07
5.11,2006.77
5.12,2005.47
5.13,2004.18
5.14,2002.89
5.15,2001.60
5.16,2000.32
5.17,1999.04
5.18,1997.77
5.19,1996.49
5.20,1995.22
5.21,1993.96
5.22,1992.69
5.23,1991.44
5.24,1990.18
5.25,1988.93
5.26,1987.67
5.27,1986.43
5.28,1985.18
5.29,1983.94
5.30,1982.70
5.31,1981.47
5.32,1980.24
5.33,1979.01
5.34,1977.78
